step 2180 | loss 2.1232 | step time 2.81ms
step 2190 | loss 2.1858 | step time 2.47ms
step 2200 | loss 2.1638 | step time 2.68ms
step 2210 | loss 2.2097 | step time 2.24ms
step 2220 | loss 2.3526 | step time 2.09ms
step 2230 | loss 2.0899 | step time 2.19ms
step 2240 | loss 2.1299 | step time 3.11ms
step 2250 | loss 2.1516 | step time 2.56ms
step 2260 | loss 2.1964 | step time 3.02ms
step 2270 | loss 2.1556 | step time 2.62ms
step 2280 | loss 2.0898 | step time 3.12ms
step 2290 | loss 2.1320 | step time 2.20ms
step 2300 | loss 2.1265 | step time 2.97ms
step 2310 | loss 2.2606 | step time 2.41ms
step 2320 | loss 2.1637 | step time 3.43ms
step 2330 | loss 2.1524 | step time 2.44ms
step 2340 | loss 2.1808 | step time 3.24ms
step 2350 | loss 2.0744 | step time 2.04ms
step 2360 | loss 2.2649 | step time 2.69ms
step 2370 | loss 2.2536 | step time 2.38ms
step 2380 | loss 2.2538 | step time 2.66ms
step 2390 | loss 2.1144 | step time 2.27ms
step 2400 | loss 2.1553 | step time 2.92ms
step 2410 | loss 2.2307 | step time 2.66ms
step 2420 | loss 2.1557 | step time 2.22ms
step 2430 | loss 2.2398 | step time 3.38ms
step 2440 | loss 2.2329 | step time 2.39ms
step 2450 | loss 2.2041 | step time 2.44ms
step 2460 | loss 2.1326 | step time 2.24ms
step 2470 | loss 2.1971 | step time 2.69ms
step 2480 | loss 2.1107 | step time 2.04ms
step 2490 | loss 2.1120 | step time 3.11ms
step 2500 | loss 2.1369 | step time 2.84ms
step 2500 train loss: 2.1239843368530273 test loss: 2.127819776535034
test loss 2.127819776535034 is the best so far, saving model to MLP/model.pt
step 2510 | loss 2.2060 | step time 2.53ms
step 2520 | loss 2.1349 | step time 2.26ms
step 2530 | loss 2.1929 | step time 2.31ms
step 2540 | loss 2.0332 | step time 2.21ms
step 2550 | loss 1.9904 | step time 2.39ms
step 2560 | loss 2.1372 | step time 2.24ms
step 2570 | loss 2.0897 | step time 2.82ms
step 2580 | loss 2.1384 | step time 2.26ms
step 2590 | loss 2.2385 | step time 2.24ms
step 2600 | loss 2.1451 | step time 2.41ms
step 2610 | loss 2.2033 | step time 2.10ms
step 2620 | loss 2.0758 | step time 2.95ms
step 2630 | loss 2.0533 | step time 2.07ms
step 2640 | loss 2.1451 | step time 2.50ms
step 2650 | loss 2.0950 | step time 2.45ms
step 2660 | loss 2.1491 | step time 2.96ms
step 2670 | loss 2.0591 | step time 2.50ms
step 2680 | loss 2.2421 | step time 2.58ms
step 2690 | loss 2.1553 | step time 2.57ms
step 2700 | loss 2.2011 | step time 2.60ms
step 2710 | loss 2.1724 | step time 2.60ms
step 2720 | loss 2.1138 | step time 2.90ms
step 2730 | loss 2.1211 | step time 2.34ms
step 2740 | loss 2.0696 | step time 2.74ms
step 2750 | loss 2.2738 | step time 2.24ms
step 2760 | loss 2.0638 | step time 2.72ms
step 2770 | loss 2.0904 | step time 2.25ms
step 2780 | loss 2.2795 | step time 3.19ms
step 2790 | loss 2.1094 | step time 2.40ms
step 2800 | loss 2.1231 | step time 2.39ms
step 2810 | loss 2.1574 | step time 2.55ms
step 2820 | loss 2.1962 | step time 2.31ms
step 2830 | loss 2.1292 | step time 2.15ms
step 2840 | loss 2.1280 | step time 2.29ms
step 2850 | loss 2.0997 | step time 2.42ms
step 2860 | loss 2.1182 | step time 2.50ms
step 2870 | loss 2.1570 | step time 2.93ms
step 2880 | loss 2.1216 | step time 2.78ms
step 2890 | loss 2.0882 | step time 3.33ms
step 2900 | loss 2.1349 | step time 3.02ms
step 2910 | loss 2.1842 | step time 2.79ms
step 2920 | loss 1.9848 | step time 3.10ms
step 2930 | loss 2.1339 | step time 3.26ms
step 2940 | loss 2.0446 | step time 2.29ms
step 2950 | loss 2.0851 | step time 2.32ms
step 2960 | loss 2.1641 | step time 3.03ms
step 2970 | loss 2.2415 | step time 3.33ms
step 2980 | loss 2.0662 | step time 2.56ms
step 2990 | loss 2.2344 | step time 2.66ms
step 3000 | loss 2.1945 | step time 3.84ms
step 3000 train loss: 2.1235294342041016 test loss: 2.1187734603881836
test loss 2.1187734603881836 is the best so far, saving model to MLP/model.pt
step 3010 | loss 2.1200 | step time 2.16ms
step 3020 | loss 2.2292 | step time 2.37ms
step 3030 | loss 2.1452 | step time 2.32ms
step 3040 | loss 2.0726 | step time 2.19ms
step 3050 | loss 1.9637 | step time 2.41ms
step 3060 | loss 2.1180 | step time 2.26ms
step 3070 | loss 2.0841 | step time 2.39ms
step 3080 | loss 2.0650 | step time 12.85ms
step 3090 | loss 2.1814 | step time 2.38ms
step 3100 | loss 2.1185 | step time 2.65ms
step 3110 | loss 2.1975 | step time 3.87ms
step 3120 | loss 2.0675 | step time 2.22ms
step 3130 | loss 1.9871 | step time 2.37ms
step 3140 | loss 2.1618 | step time 3.13ms
step 3150 | loss 2.1368 | step time 2.27ms
step 3160 | loss 2.2310 | step time 3.18ms
step 3170 | loss 2.1251 | step time 2.23ms
step 3180 | loss 2.0695 | step time 2.46ms
step 3190 | loss 2.2096 | step time 3.61ms
step 3200 | loss 2.0878 | step time 2.26ms
step 3210 | loss 1.9982 | step time 2.26ms
step 3220 | loss 2.1273 | step time 2.73ms
step 3230 | loss 1.9930 | step time 3.94ms
step 3240 | loss 2.0067 | step time 2.39ms
step 3250 | loss 2.0277 | step time 2.31ms
step 3260 | loss 2.0976 | step time 2.87ms
step 3270 | loss 2.1906 | step time 2.62ms
step 3280 | loss 1.9752 | step time 2.51ms
step 3290 | loss 2.0651 | step time 2.39ms
step 3300 | loss 2.1054 | step time 2.31ms
step 3310 | loss 2.0453 | step time 3.53ms
step 3320 | loss 2.1525 | step time 2.58ms
step 3330 | loss 2.2156 | step time 2.74ms
step 3340 | loss 2.0893 | step time 3.88ms
step 3350 | loss 2.2200 | step time 2.21ms
step 3360 | loss 2.1818 | step time 2.19ms
step 3370 | loss 2.1868 | step time 3.98ms
step 3380 | loss 2.1598 | step time 2.31ms
step 3390 | loss 2.0435 | step time 2.73ms
step 3400 | loss 2.1194 | step time 3.06ms
step 3410 | loss 2.0120 | step time 3.13ms
step 3420 | loss 2.1002 | step time 3.41ms
step 3430 | loss 2.0972 | step time 2.41ms
step 3440 | loss 2.1130 | step time 2.21ms
step 3450 | loss 2.0646 | step time 3.05ms
step 3460 | loss 2.0250 | step time 2.68ms
step 3470 | loss 2.0940 | step time 2.79ms
step 3480 | loss 2.1471 | step time 2.77ms
step 3490 | loss 2.1324 | step time 2.05ms
step 3500 | loss 2.0629 | step time 3.47ms
step 3500 train loss: 2.1179823875427246 test loss: 2.1014914512634277
test loss 2.1014914512634277 is the best so far, saving model to MLP/model.pt
step 3510 | loss 2.1160 | step time 3.23ms
step 3520 | loss 2.1686 | step time 2.34ms
step 3530 | loss 2.1786 | step time 2.95ms
step 3540 | loss 2.1178 | step time 3.19ms
step 3550 | loss 2.0886 | step time 2.11ms
step 3560 | loss 2.0814 | step time 3.01ms
step 3570 | loss 2.0395 | step time 2.63ms
step 3580 | loss 2.1376 | step time 2.76ms
step 3590 | loss 2.0593 | step time 2.83ms
step 3600 | loss 1.9558 | step time 2.75ms
step 3610 | loss 2.0901 | step time 2.67ms
step 3620 | loss 2.1307 | step time 3.45ms
step 3630 | loss 2.1420 | step time 2.11ms
step 3640 | loss 1.9906 | step time 2.61ms
step 3650 | loss 2.1087 | step time 2.90ms
step 3660 | loss 2.1099 | step time 2.16ms
step 3670 | loss 2.0010 | step time 2.86ms
step 3680 | loss 2.1086 | step time 2.64ms
step 3690 | loss 2.0808 | step time 2.34ms
step 3700 | loss 1.9697 | step time 3.14ms
step 3710 | loss 2.1320 | step time 2.35ms
step 3720 | loss 2.2373 | step time 3.19ms
step 3730 | loss 2.1051 | step time 3.03ms
step 3740 | loss 1.9737 | step time 2.65ms
step 3750 | loss 2.2695 | step time 2.80ms
step 3760 | loss 2.0671 | step time 2.69ms
step 3770 | loss 2.0729 | step time 2.26ms
step 3780 | loss 2.0930 | step time 2.29ms
step 3790 | loss 2.1401 | step time 2.35ms
step 3800 | loss 1.9706 | step time 2.40ms
step 3810 | loss 2.0144 | step time 2.47ms
step 3820 | loss 2.1552 | step time 2.61ms
step 3830 | loss 2.1226 | step time 2.53ms
step 3840 | loss 2.1189 | step time 3.16ms
step 3850 | loss 2.2922 | step time 2.80ms
step 3860 | loss 2.2253 | step time 2.65ms
step 3870 | loss 2.1155 | step time 2.74ms
step 3880 | loss 2.1995 | step time 2.31ms
step 3890 | loss 2.1672 | step time 2.96ms
step 3900 | loss 1.9628 | step time 2.51ms
step 3910 | loss 2.1441 | step time 2.49ms
step 3920 | loss 2.0249 | step time 2.38ms
step 3930 | loss 2.2376 | step time 2.49ms
step 3940 | loss 2.1276 | step time 2.79ms
step 3950 | loss 2.0652 | step time 2.81ms
step 3960 | loss 2.1733 | step time 3.49ms
step 3970 | loss 2.0775 | step time 2.52ms
step 3980 | loss 2.0048 | step time 3.07ms
step 3990 | loss 2.1416 | step time 3.01ms
step 4000 | loss 2.0885 | step time 2.22ms
step 4000 train loss: 2.0871427059173584 test loss: 2.1023597717285156
step 4010 | loss 2.1932 | step time 3.14ms
step 4020 | loss 2.0678 | step time 2.54ms
step 4030 | loss 2.0838 | step time 2.74ms
step 4040 | loss 2.2074 | step time 2.49ms
step 4050 | loss 2.1021 | step time 2.26ms
step 4060 | loss 2.0590 | step time 2.87ms
step 4070 | loss 2.0548 | step time 2.64ms
step 4080 | loss 2.2482 | step time 3.11ms
step 4090 | loss 2.0079 | step time 2.70ms
step 4100 | loss 2.2562 | step time 2.28ms
step 4110 | loss 1.9761 | step time 2.95ms
step 4120 | loss 2.0832 | step time 2.20ms
step 4130 | loss 2.0812 | step time 3.42ms
step 4140 | loss 2.1563 | step time 2.19ms
step 4150 | loss 2.1140 | step time 2.23ms
step 4160 | loss 2.0636 | step time 2.47ms
step 4170 | loss 2.1006 | step time 2.39ms
step 4180 | loss 2.1336 | step time 2.90ms
step 4190 | loss 2.0814 | step time 2.51ms
step 4200 | loss 1.9981 | step time 2.44ms
step 4210 | loss 2.0854 | step time 2.92ms
step 4220 | loss 2.1965 | step time 2.59ms
step 4230 | loss 2.1951 | step time 2.46ms
step 4240 | loss 2.0916 | step time 2.48ms
step 4250 | loss 2.2579 | step time 2.89ms
step 4260 | loss 2.2064 | step time 2.24ms
step 4270 | loss 2.1715 | step time 3.03ms
step 4280 | loss 2.1148 | step time 2.28ms
step 4290 | loss 2.1822 | step time 3.14ms
step 4300 | loss 1.9582 | step time 2.16ms
step 4310 | loss 2.1406 | step time 2.47ms
step 4320 | loss 2.1034 | step time 2.40ms
step 4330 | loss 2.1384 | step time 2.51ms
step 4340 | loss 2.0478 | step time 2.49ms
step 4350 | loss 2.0548 | step time 2.55ms
step 4360 | loss 2.0853 | step time 2.41ms
step 4370 | loss 2.0532 | step time 2.26ms
step 4380 | loss 2.2104 | step time 2.55ms
step 4390 | loss 1.9989 | step time 2.48ms
step 4400 | loss 2.0050 | step time 2.88ms
step 4410 | loss 2.0921 | step time 3.57ms
step 4420 | loss 2.1396 | step time 2.27ms
step 4430 | loss 2.0029 | step time 3.32ms
step 4440 | loss 2.0630 | step time 2.08ms
step 4450 | loss 2.1854 | step time 2.75ms
step 4460 | loss 2.1294 | step time 1.97ms
step 4470 | loss 2.1803 | step time 2.70ms
step 4480 | loss 2.1575 | step time 2.22ms
step 4490 | loss 2.1074 | step time 2.75ms
step 4500 | loss 2.0295 | step time 2.06ms
step 4500 train loss: 2.0983145236968994 test loss: 2.0938448905944824
test loss 2.0938448905944824 is the best so far, saving model to MLP/model.pt
step 4510 | loss 2.0080 | step time 2.26ms
step 4520 | loss 2.1050 | step time 2.64ms
step 4530 | loss 1.9503 | step time 2.31ms
step 4540 | loss 2.2238 | step time 2.46ms
step 4550 | loss 2.2065 | step time 2.40ms
step 4560 | loss 2.1476 | step time 2.51ms
step 4570 | loss 2.0036 | step time 2.20ms
step 4580 | loss 2.0857 | step time 2.63ms
step 4590 | loss 2.0626 | step time 2.57ms
step 4600 | loss 2.1387 | step time 3.01ms
step 4610 | loss 1.9064 | step time 2.98ms
step 4620 | loss 2.2074 | step time 2.43ms
step 4630 | loss 2.0576 | step time 3.06ms
step 4640 | loss 2.0481 | step time 2.18ms
step 4650 | loss 2.0037 | step time 2.19ms
step 4660 | loss 2.1745 | step time 2.42ms
step 4670 | loss 2.0568 | step time 2.51ms
step 4680 | loss 2.0911 | step time 2.25ms
step 4690 | loss 2.1219 | step time 2.71ms
step 4700 | loss 2.1519 | step time 2.18ms
step 4710 | loss 1.9869 | step time 2.44ms
step 4720 | loss 2.1286 | step time 2.29ms
step 4730 | loss 2.2103 | step time 2.35ms
step 4740 | loss 2.1112 | step time 2.94ms
step 4750 | loss 2.0475 | step time 2.30ms
step 4760 | loss 2.0775 | step time 2.56ms
step 4770 | loss 2.0609 | step time 2.30ms
step 4780 | loss 2.0445 | step time 2.40ms
step 4790 | loss 2.0156 | step time 2.56ms
step 4800 | loss 2.0776 | step time 2.50ms
step 4810 | loss 1.9731 | step time 3.49ms
step 4820 | loss 2.0110 | step time 2.25ms
step 4830 | loss 2.1615 | step time 3.17ms
step 4840 | loss 2.0137 | step time 2.37ms
step 4850 | loss 2.0625 | step time 2.65ms
step 4860 | loss 2.0856 | step time 2.56ms
step 4870 | loss 2.0857 | step time 2.44ms
step 4880 | loss 2.0803 | step time 2.39ms
step 4890 | loss 2.1354 | step time 2.51ms
step 4900 | loss 2.0570 | step time 2.40ms
step 4910 | loss 1.9830 | step time 2.15ms
step 4920 | loss 2.0432 | step time 2.15ms
step 4930 | loss 2.0977 | step time 2.66ms
step 4940 | loss 2.0615 | step time 2.42ms
step 4950 | loss 2.0816 | step time 2.13ms
step 4960 | loss 2.0771 | step time 2.53ms
step 4970 | loss 2.2056 | step time 2.58ms
step 4980 | loss 1.9916 | step time 3.48ms
step 4990 | loss 2.1555 | step time 2.38ms
step 5000 | loss 2.0522 | step time 2.70ms
step 5000 train loss: 2.0709850788116455 test loss: 2.0864694118499756
test loss 2.0864694118499756 is the best so far, saving model to MLP/model.pt
step 5010 | loss 2.0595 | step time 2.62ms
step 5020 | loss 2.1370 | step time 2.26ms
step 5030 | loss 2.1350 | step time 2.40ms
step 5040 | loss 2.0326 | step time 2.57ms
step 5050 | loss 1.9901 | step time 2.62ms
step 5060 | loss 1.9575 | step time 2.06ms
step 5070 | loss 2.0822 | step time 2.56ms
step 5080 | loss 2.0846 | step time 2.19ms
step 5090 | loss 2.1474 | step time 2.45ms
step 5100 | loss 1.9884 | step time 3.15ms
step 5110 | loss 2.1176 | step time 2.19ms
step 5120 | loss 2.1172 | step time 2.65ms
step 5130 | loss 2.0051 | step time 2.58ms
step 5140 | loss 2.1407 | step time 3.08ms
step 5150 | loss 2.0605 | step time 2.45ms
step 5160 | loss 2.0453 | step time 3.35ms
step 5170 | loss 1.9612 | step time 2.47ms
