step 1770 | loss 2.1228 | step time 11.44ms
step 1780 | loss 2.2591 | step time 11.44ms
step 1790 | loss 2.1649 | step time 11.46ms
step 1800 | loss 2.1809 | step time 11.04ms
step 1810 | loss 2.3578 | step time 11.37ms
step 1820 | loss 2.2653 | step time 11.12ms
step 1830 | loss 2.1076 | step time 11.18ms
step 1840 | loss 2.0801 | step time 11.42ms
step 1850 | loss 2.1723 | step time 11.39ms
step 1860 | loss 2.0799 | step time 11.09ms
step 1870 | loss 2.2019 | step time 10.83ms
step 1880 | loss 2.2543 | step time 10.77ms
step 1890 | loss 2.2865 | step time 11.32ms
step 1900 | loss 2.2288 | step time 11.16ms
step 1910 | loss 2.2767 | step time 10.83ms
step 1920 | loss 2.1169 | step time 11.40ms
step 1930 | loss 2.2290 | step time 11.33ms
step 1940 | loss 2.2640 | step time 11.31ms
step 1950 | loss 2.1469 | step time 11.30ms
step 1960 | loss 2.1097 | step time 11.16ms
step 1970 | loss 2.1543 | step time 11.34ms
step 1980 | loss 2.2511 | step time 11.44ms
step 1990 | loss 2.2065 | step time 11.34ms
step 2000 | loss 2.0682 | step time 11.30ms
step 2000 train loss: 2.1765522956848145 test loss: 2.177672863006592
test loss 2.177672863006592 is the best so far, saving model to Transformer/model.pt
step 2010 | loss 2.1192 | step time 11.43ms
step 2020 | loss 2.1759 | step time 11.54ms
step 2030 | loss 2.2109 | step time 11.32ms
step 2040 | loss 2.1539 | step time 11.26ms
step 2050 | loss 2.1457 | step time 11.25ms
step 2060 | loss 2.2189 | step time 11.09ms
step 2070 | loss 2.1075 | step time 11.46ms
step 2080 | loss 2.1904 | step time 11.49ms
step 2090 | loss 2.0941 | step time 11.35ms
step 2100 | loss 2.3016 | step time 11.15ms
step 2110 | loss 2.2712 | step time 11.38ms
step 2120 | loss 2.1452 | step time 11.32ms
step 2130 | loss 2.0877 | step time 11.45ms
step 2140 | loss 2.2857 | step time 11.34ms
step 2150 | loss 2.1762 | step time 11.48ms
step 2160 | loss 2.1821 | step time 11.43ms
