step 1850 | loss 2.7942 | step time 0.38ms
step 1860 | loss 2.7907 | step time 0.36ms
step 1870 | loss 2.7555 | step time 0.41ms
step 1880 | loss 2.7602 | step time 0.37ms
step 1890 | loss 2.7767 | step time 0.34ms
step 1900 | loss 2.7215 | step time 0.42ms
step 1910 | loss 2.7353 | step time 0.32ms
step 1920 | loss 2.7626 | step time 0.33ms
step 1930 | loss 2.7386 | step time 0.33ms
step 1940 | loss 2.7289 | step time 0.41ms
step 1950 | loss 2.7241 | step time 0.35ms
step 1960 | loss 2.7859 | step time 0.41ms
step 1970 | loss 2.7309 | step time 0.45ms
step 1980 | loss 2.7532 | step time 0.43ms
step 1990 | loss 2.7276 | step time 0.33ms
step 2000 | loss 2.8245 | step time 0.35ms
step 2000 train loss: 2.7535250186920166 test loss: 2.7442972660064697
test loss 2.7442972660064697 is the best so far, saving model to Bigram/model.pt
step 2010 | loss 2.7689 | step time 0.41ms
step 2020 | loss 2.7342 | step time 0.45ms
step 2030 | loss 2.7540 | step time 0.40ms
step 2040 | loss 2.7455 | step time 0.33ms
step 2050 | loss 2.7263 | step time 0.32ms
step 2060 | loss 2.7331 | step time 0.37ms
step 2070 | loss 2.7414 | step time 0.34ms
step 2080 | loss 2.7779 | step time 0.41ms
step 2090 | loss 2.6888 | step time 0.32ms
step 2100 | loss 2.7227 | step time 0.35ms
step 2110 | loss 2.7196 | step time 0.40ms
step 2120 | loss 2.7721 | step time 0.42ms
step 2130 | loss 2.7015 | step time 0.32ms
step 2140 | loss 2.7566 | step time 0.34ms
step 2150 | loss 2.6945 | step time 0.41ms
step 2160 | loss 2.7415 | step time 0.46ms
step 2170 | loss 2.7039 | step time 0.32ms
step 2180 | loss 2.6936 | step time 0.37ms
step 2190 | loss 2.7271 | step time 0.32ms
step 2200 | loss 2.7309 | step time 0.32ms
step 2210 | loss 2.7182 | step time 0.36ms
step 2220 | loss 2.7412 | step time 0.34ms
step 2230 | loss 2.7227 | step time 0.34ms
step 2240 | loss 2.6915 | step time 0.45ms
step 2250 | loss 2.7119 | step time 0.41ms
step 2260 | loss 2.7320 | step time 0.33ms
step 2270 | loss 2.7033 | step time 0.34ms
step 2280 | loss 2.6812 | step time 0.96ms
step 2290 | loss 2.7299 | step time 0.36ms
step 2300 | loss 2.7256 | step time 0.33ms
step 2310 | loss 2.6945 | step time 0.34ms
step 2320 | loss 2.7274 | step time 0.43ms
step 2330 | loss 2.7409 | step time 0.35ms
step 2340 | loss 2.6676 | step time 0.34ms
step 2350 | loss 2.6959 | step time 0.44ms
step 2360 | loss 2.7262 | step time 0.39ms
step 2370 | loss 2.7105 | step time 0.43ms
step 2380 | loss 2.6941 | step time 0.33ms
step 2390 | loss 2.7448 | step time 0.34ms
step 2400 | loss 2.7062 | step time 0.44ms
step 2410 | loss 2.6885 | step time 0.33ms
step 2420 | loss 2.6952 | step time 0.42ms
step 2430 | loss 2.6460 | step time 0.33ms
step 2440 | loss 2.6663 | step time 0.34ms
step 2450 | loss 2.6297 | step time 0.42ms
step 2460 | loss 2.7058 | step time 0.41ms
step 2470 | loss 2.6940 | step time 0.43ms
step 2480 | loss 2.6609 | step time 0.43ms
step 2490 | loss 2.6964 | step time 0.34ms
step 2500 | loss 2.7009 | step time 0.35ms
step 2500 train loss: 2.6740236282348633 test loss: 2.6685872077941895
test loss 2.6685872077941895 is the best so far, saving model to Bigram/model.pt
step 2510 | loss 2.6082 | step time 0.34ms
step 2520 | loss 2.7082 | step time 0.36ms
step 2530 | loss 2.6603 | step time 0.38ms
step 2540 | loss 2.7481 | step time 0.33ms
step 2550 | loss 2.6861 | step time 0.34ms
step 2560 | loss 2.6933 | step time 0.36ms
step 2570 | loss 2.6802 | step time 0.32ms
step 2580 | loss 2.6328 | step time 0.35ms
step 2590 | loss 2.6680 | step time 0.31ms
step 2600 | loss 2.6671 | step time 0.34ms
step 2610 | loss 2.7090 | step time 0.51ms
step 2620 | loss 2.6689 | step time 0.40ms
step 2630 | loss 2.6863 | step time 0.33ms
step 2640 | loss 2.6548 | step time 0.32ms
step 2650 | loss 2.7479 | step time 0.40ms
step 2660 | loss 2.7002 | step time 0.41ms
step 2670 | loss 2.6205 | step time 0.35ms
step 2680 | loss 2.6516 | step time 0.34ms
step 2690 | loss 2.5937 | step time 0.33ms
step 2700 | loss 2.7001 | step time 0.35ms
step 2710 | loss 2.6342 | step time 0.40ms
step 2720 | loss 2.6853 | step time 0.33ms
step 2730 | loss 2.6417 | step time 0.40ms
step 2740 | loss 2.6326 | step time 0.32ms
step 2750 | loss 2.6928 | step time 0.34ms
step 2760 | loss 2.5681 | step time 0.33ms
step 2770 | loss 2.7244 | step time 0.34ms
step 2780 | loss 2.6324 | step time 0.35ms
step 2790 | loss 2.5952 | step time 0.46ms
step 2800 | loss 2.6862 | step time 0.31ms
step 2810 | loss 2.6094 | step time 0.41ms
step 2820 | loss 2.6471 | step time 0.37ms
step 2830 | loss 2.6254 | step time 0.35ms
step 2840 | loss 2.6932 | step time 0.34ms
step 2850 | loss 2.6454 | step time 0.38ms
step 2860 | loss 2.6172 | step time 0.33ms
step 2870 | loss 2.6138 | step time 0.45ms
step 2880 | loss 2.6107 | step time 0.34ms
step 2890 | loss 2.5988 | step time 0.31ms
step 2900 | loss 2.6115 | step time 0.42ms
step 2910 | loss 2.6201 | step time 0.34ms
step 2920 | loss 2.5956 | step time 0.44ms
step 2930 | loss 2.6201 | step time 0.34ms
step 2940 | loss 2.6179 | step time 0.32ms
step 2950 | loss 2.6186 | step time 0.45ms
step 2960 | loss 2.6333 | step time 0.39ms
step 2970 | loss 2.5941 | step time 0.33ms
step 2980 | loss 2.6227 | step time 0.33ms
step 2990 | loss 2.6263 | step time 0.31ms
step 3000 | loss 2.6266 | step time 0.32ms
step 3000 train loss: 2.6209874153137207 test loss: 2.6115872859954834
test loss 2.6115872859954834 is the best so far, saving model to Bigram/model.pt
step 3010 | loss 2.6401 | step time 0.35ms
step 3020 | loss 2.6672 | step time 0.32ms
step 3030 | loss 2.6045 | step time 0.36ms
step 3040 | loss 2.6299 | step time 0.36ms
step 3050 | loss 2.6773 | step time 0.34ms
step 3060 | loss 2.6471 | step time 0.37ms
step 3070 | loss 2.6343 | step time 0.34ms
step 3080 | loss 2.5889 | step time 0.32ms
step 3090 | loss 2.5987 | step time 0.33ms
step 3100 | loss 2.6167 | step time 0.34ms
step 3110 | loss 2.5381 | step time 0.32ms
step 3120 | loss 2.5995 | step time 0.42ms
step 3130 | loss 2.6412 | step time 0.46ms
step 3140 | loss 2.6671 | step time 0.40ms
step 3150 | loss 2.5668 | step time 0.32ms
step 3160 | loss 2.5964 | step time 0.32ms
step 3170 | loss 2.5836 | step time 0.35ms
step 3180 | loss 2.5481 | step time 0.40ms
step 3190 | loss 2.6083 | step time 0.33ms
step 3200 | loss 2.5945 | step time 0.38ms
step 3210 | loss 2.5090 | step time 0.33ms
step 3220 | loss 2.6375 | step time 0.38ms
step 3230 | loss 2.5557 | step time 0.41ms
step 3240 | loss 2.5897 | step time 0.34ms
step 3250 | loss 2.5071 | step time 0.41ms
step 3260 | loss 2.5730 | step time 0.39ms
step 3270 | loss 2.6143 | step time 0.40ms
step 3280 | loss 2.5825 | step time 0.41ms
step 3290 | loss 2.6133 | step time 0.33ms
step 3300 | loss 2.6274 | step time 0.36ms
step 3310 | loss 2.5677 | step time 0.37ms
step 3320 | loss 2.5881 | step time 0.33ms
step 3330 | loss 2.5359 | step time 0.33ms
step 3340 | loss 2.5886 | step time 0.39ms
step 3350 | loss 2.5893 | step time 0.36ms
step 3360 | loss 2.6300 | step time 0.42ms
step 3370 | loss 2.5720 | step time 0.36ms
step 3380 | loss 2.6015 | step time 0.34ms
step 3390 | loss 2.5611 | step time 0.38ms
step 3400 | loss 2.6193 | step time 0.37ms
step 3410 | loss 2.5960 | step time 0.35ms
step 3420 | loss 2.5589 | step time 0.42ms
step 3430 | loss 2.5742 | step time 0.36ms
step 3440 | loss 2.5597 | step time 0.39ms
step 3450 | loss 2.5544 | step time 0.32ms
step 3460 | loss 2.5672 | step time 0.41ms
step 3470 | loss 2.5663 | step time 0.37ms
step 3480 | loss 2.5632 | step time 0.39ms
step 3490 | loss 2.5379 | step time 0.39ms
step 3500 | loss 2.5505 | step time 0.40ms
step 3500 train loss: 2.567683219909668 test loss: 2.569497585296631
test loss 2.569497585296631 is the best so far, saving model to Bigram/model.pt
step 3510 | loss 2.5535 | step time 0.29ms
step 3520 | loss 2.5598 | step time 0.38ms
step 3530 | loss 2.5970 | step time 0.44ms
step 3540 | loss 2.5599 | step time 0.34ms
step 3550 | loss 2.6210 | step time 0.35ms
step 3560 | loss 2.6360 | step time 0.38ms
step 3570 | loss 2.5396 | step time 0.34ms
step 3580 | loss 2.5545 | step time 0.40ms
step 3590 | loss 2.5275 | step time 0.34ms
step 3600 | loss 2.5475 | step time 0.35ms
step 3610 | loss 2.6002 | step time 0.44ms
step 3620 | loss 2.5701 | step time 0.33ms
